Index,EAFE,GSCI,NAREIT,SP500,US10YR
1984-06-30,405.505,752.5,327.7952,287.17,192.0212002
1984-07-31,379.642,784.8,343.787,318.89,204.1068691
1984-08-31,411.946,778.64,361.7206,318.96,207.6630502
1984-09-30,408.449,782.2,372.6693,320.19,213.6147173
1984-10-31,418.804,785.17,377.418,316.61,224.2340896
1984-11-30,420.528,769.53,382.6522,324.95,229.1835859
1984-12-31,429.126,779.24,404.3078,350.27,231.796703
1985-01-31,438.908,769.01,410.9628,354.56,239.2523899
1985-02-28,436.447,802.25,408.1961,354.79,231.2915704
1985-03-31,470.444,776.3,408.574,354.46,237.0844288
1985-04-30,468.979,776.22,419.6971,374.94,242.7279601
1985-05-31,489.052,753.6,429.4359,380.81,261.9203884
1985-06-30,501.767,736.66,433.3975,380.26,264.6484895
1985-07-31,527.844,747.69,409.7028,377.01,261.758866
1985-08-31,544.96,790.21,396.9438,365.22,268.7374533
1985-09-30,577.023,847.43,409.4129,382.09,270.5439699
1985-10-31,616.459,862.18,402.8288,408.29,277.9220101
1985-11-30,641.95,846.58,405.3049,428.05,287.6394411
1985-12-31,672.543,769.77,420.9676,430.43,300.9721579
1986-01-31,689.599,742.95,436.8983,462.61,301.6693741
1986-02-28,766.2,741.3,447.6463,488.42,323.3075448
1986-03-31,874.157,783.06,450.3266,482.92,342.1971132
1986-04-30,931.632,753.66,447.7585,508.61,344.5434332
1986-05-31,890.422,782.16,463.5227,517.21,331.0163583
1986-06-30,951.362,789.71,465.6152,488.28,349.4391223
1986-07-31,1010.254,857.51,485.0305,524.49,351.8238885
1986-08-31,1110.08,835.84,473.4014,481.13,363.7448003
1986-09-30,1098.944,844.64,490.8899,508.87,353.1911266
1986-10-31,1025.779,870.21,488.1652,521.24,358.1016942
1986-11-30,1085.135,863.89,483.0256,507.94,365.092656
1986-12-31,1142.915,913.31,493.3509,576.34,365.2146568
1987-01-31,1264.556,858.47,508.4696,599.11,368.7017364
1987-02-28,1302.724,927.82,509.4032,616.4,370.6481295
1987-03-31,1409.793,974.43,495.5903,610.92,364.634663
1987-04-30,1559.21,1019.42,490.872,616.22,349.7385925
1987-05-31,1559.49,1055.85,500.6364,647.34,345.6214136
1987-06-30,1510.091,1102.97,501.1307,680.13,350.6062851
1987-07-31,1507.718,1080.63,491.607,705.51,346.5768718
1987-08-31,1621.081,1088.6,481.5194,690.04,341.4165518
1987-09-30,1595.857,1100.05,412.7525,541.43,330.3662004
1987-10-31,1372.544,1099.82,416.6929,496.82,349.2112054
1987-11-30,1386.374,1069.27,431.4937,534.61,349.2967414
1987-12-31,1427.882,1097.69,467.0252,557.1,355.5741387
1988-01-31,1453.699,1085.56,478.2822,583.07,371.8008637
1988-02-29,1550.973,1140.29,479.2381,565.05,376.8678535
1988-03-31,1646.63,1175.63,483.1831,571.3,369.194548
1988-04-30,1670.863,1217.15,477.6453,576.24,364.5892301
1988-05-31,1617.675,1183.15,490.0158,602.69,359.5288839
1988-06-30,1575.368,1190.15,496.213,600.4,371.2377212
1988-07-31,1625.118,1182.11,493.0586,580.02,366.7626815
1988-08-31,1519.773,1149.83,491.369,604.73,366.4833749
1988-09-30,1586.482,1205.49,487.718,621.57,378.4141654
1988-10-31,1722.598,1274.76,479.9109,612.71,386.7070688
1988-11-30,1825.569,1367.97,480.4916,623.4,379.2127457
1988-12-31,1836.072,1373.6,482.6922,669.05,380.1152594
1989-01-31,1868.754,1432.68,474.7114,652.38,386.2219346
1989-02-28,1878.721,1529.34,474.5768,667.6,381.4440771
1989-03-31,1842.209,1577.91,482.5201,702.26,384.8962576
1989-04-30,1859.659,1557.74,493.994,730.67,394.8801719
1989-05-31,1758.804,1612.21,498.3045,726.53,408.8207867
1989-06-30,1729.588,1566.91,510.1505,792.12,425.574505
1989-07-31,1947.143,1621.35,510.6457,807.61,436.6062915
1989-08-31,1859.935,1717.92,504.6097,804.33,426.5510524
1989-09-30,1945,1705.83,483.764,785.66,428.0580924
1989-10-31,1867.234,1733.35,477.2107,801.68,442.4026417
1989-11-30,1961.482,1891.64,471.7776,820.93,447.7437157
1989-12-31,2034.327,1883.36,461.2588,765.82,447.9232064
1990-01-31,1959.045,1877.21,445.4384,775.68,435.95553
1990-02-28,1822.729,1890.95,446.1766,796.23,436.7016322
1990-03-31,1633.218,1871.12,439.3343,776.37,435.7625568
1990-04-30,1620.691,1857.3,439.1865,852.07,427.8731837
1990-05-31,1806.109,1828.55,442.5381,846.32,443.5518479
1990-06-30,1790.634,1979.47,434.576,843.61,451.756523
1990-07-31,1816.319,2307.85,408.0444,767.35,457.0443599
1990-08-31,1640.431,2837.27,379.7577,730.01,445.2799254
1990-09-30,1412.291,2665.57,366.4587,726.9,449.7347011
1990-10-31,1632.806,2490.6,389.7987,773.89,458.0873934
1990-11-30,1536.955,2441.68,389.9474,795.45,473.3865148
1990-12-31,1562.452,2212.46,424.1153,830.09,482.4126251
1991-01-31,1613.428,2243.23,444.9818,889.45,487.2971506
1991-02-28,1786.86,2327.67,478.8988,910.99,490.8886966
1991-03-31,1680.021,2380.39,490.2802,913.15,493.1713343
1991-04-30,1697.008,2379.17,501.8455,952.54,497.4837996
1991-05-31,1715.216,2322.83,488.8446,908.9,499.460519
1991-06-30,1589.629,2441.43,498.2704,951.27,496.7727045
1991-07-31,1668.162,2479.07,498.5736,973.8,501.5217892
1991-08-31,1634.693,2498.64,508.1957,957.51,517.9980925
1991-09-30,1727.313,2570.31,505.0614,970.38,533.9828874
1991-10-31,1752.232,2466.49,505.176,931.28,537.3069309
1991-11-30,1670.895,2291.9,529.0771,1037.79,544.0284777
1991-12-31,1757.709,2354.91,555.2715,1018.45,573.6094243
1992-01-31,1720.68,2329.08,542.3806,1031.64,552.7081507
1992-02-29,1659.565,2355.11,534.3143,1011.57,557.6265328
1992-03-31,1550.467,2425.68,535.5074,1041.28,550.5663277
1992-04-30,1558.23,2490.85,552.7507,1046.38,551.3620491
1992-05-31,1663.01,2477.12,546.0543,1030.81,565.6632657
1992-06-30,1584.682,2442.6,564.5295,1072.92,576.705008
1992-07-31,1544.632,2445.16,559.6467,1050.96,597.562209
1992-08-31,1642.039,2473.19,572.9982,1063.31,605.2272366
1992-09-30,1610.135,2418.81,571.1243,1066.99,619.6269577
1992-10-31,1526.165,2387.88,582.2351,1103.32,603.8172012
1992-11-30,1540.995,2393.26,593.4943,1116.86,600.7904097
1992-12-31,1549.432,2422.28,631.2866,1126.2,615.0855252
1993-01-31,1549.705,2450.42,661.0367,1141.55,632.4458848
1993-02-28,1596.974,2501.49,706.9407,1165.63,652.7200417
1993-03-31,1736.642,2474.61,675.7816,1137.46,655.99996
1993-04-30,1901.931,2405.75,667.5283,1167.89,658.3230353
1993-05-31,1942.564,2330.46,687.1179,1171.31,656.2970131
1993-06-30,1912.704,2310.31,698.7247,1166.59,677.397753
1993-07-31,1980.098,2329.33,715.4845,1210.86,679.1488094
1993-08-31,2087.439,2335.26,748.124,1201.57,702.1352432
1993-09-30,2040.91,2251.36,738.7013,1226.43,708.0084345
1993-10-31,2104.254,2138.44,703.7579,1214.74,709.572682
1993-11-30,1920.762,2098.21,703.5707,1229.43,691.5118517
1993-12-31,2059.891,2269.05,724.6103,1271.22,694.8714468
1994-01-31,2234.489,2219.72,749.5574,1236.72,705.058412
1994-02-28,2228.759,2193.29,719.3824,1182.8,684.9781525
1994-03-31,2133.238,2250.73,731.0486,1197.97,658.0047395
1994-04-30,2224.224,2284.22,745.9134,1217.63,648.1986337
1994-05-31,2211.928,2340.41,729.7208,1187.78,646.9859711
1994-06-30,2243.683,2380.7,727.8749,1226.79,643.1574833
1994-07-31,2265.755,2220.25,731.9062,1277.08,657.0882535
1994-08-31,2319.896,2199.35,717.0397,1245.85,657.7475206
1994-09-30,2247.338,2209.26,690.4379,1273.84,642.1493291
1994-10-31,2322.699,2136.92,668.0049,1227.45,637.8691318
1994-11-30,2211.58,2209.27,709.2383,1245.66,637.6704039
1994-12-31,2225.946,2154.37,698.7126,1277.96,644.9273715
1995-01-31,2140.964,2171.77,721.3926,1327.77,659.8434823
1995-02-28,2135.368,2201.35,717.0865,1366.95,681.6580148
1995-03-31,2269.152,2268.75,718.7128,1407.2,686.7190589
1995-04-30,2355.097,2249.6,751.0687,1463.44,697.1609145
1995-05-31,2327.63,2209.46,764.3943,1497.43,740.6369318
1995-06-30,2287.429,2267.16,776.3364,1547.09,749.434015
1995-07-31,2430.458,2315.22,787.8896,1550.98,740.2119296
1995-08-31,2338.335,2325,802.3072,1616.44,753.4275446
1995-09-30,2384.611,2348.4,787.5459,1610.66,763.4849079
1995-10-31,2321.124,2411.8,795.4458,1681.36,775.3474367
1995-11-30,2386.313,2658.46,839.0927,1713.75,794.9839383
1995-12-31,2483.068,2654.16,855.162,1772.08,809.6497105
1996-01-31,2493.853,2760.56,861.7522,1788.51,812.1879473
1996-02-29,2502.905,2940,860.515,1805.72,784.1615408
1996-03-31,2556.691,3109.74,863.3091,1832.35,776.1126763
1996-04-30,2631.652,3085.18,886.7407,1879.6,762.2967328
1996-05-31,2583.853,3204.88,898.9576,1886.77,756.1688441
1996-06-30,2599.028,3053.21,906.7001,1803.42,767.0104854
1996-07-31,2523.715,3151.53,943.5915,1841.46,767.4634727
1996-08-31,2529.896,3263.3,959.998,1945.1,763.0739132
1996-09-30,2597.744,3255.23,990.8015,1998.75,780.6752604
1996-10-31,2571.806,3526.12,1035.88,2149.83,805.0212622
1996-11-30,2674.776,3560.13,1139.098,2107.23,827.7997264
1996-12-31,2641.011,3507.79,1151.783,2238.88,809.6513509
1997-01-31,2549.193,3265.97,1152.771,2256.43,808.1141673
1997-02-28,2591.503,3321.06,1142.106,2163.72,810.7547408
1997-03-31,2601.526,3397.89,1116.073,2292.89,794.3784646
1997-04-30,2615.959,3422.19,1151.788,2432.49,810.3894093
1997-05-31,2786.838,3237.05,1207.072,2541.47,817.8493333
1997-06-30,2941.159,3369.67,1243.1949,2743.68,831.8999862
1997-07-31,2989.345,3454.89,1240.7043,2589.98,866.6956032
1997-08-31,2766.701,3542.28,1339.809,2731.82,850.74122
1997-09-30,2922.314,3639.73,1305.667,2640.58,869.0761538
1997-10-31,2698.331,3280.88,1327.804,2762.82,891.7372689
1997-11-30,2671.446,3059.17,1353.942,2810.27,894.7422848
1997-12-31,2695.362,3009.86,1347.6071,2841.36,906.515287
1998-01-31,2819.257,2811.26,1324.74,3046.29,926.0156706
1998-02-28,3000.812,2796.66,1346.589,3202.29,923.9757507
1998-03-31,3093.89,2720.4,1303.301,3234.5,924.8148257
1998-04-30,3119.083,2592.06,1292.249,3178.91,928.4866248
1998-05-31,3104.652,2500.16,1284.1949,3308.03,941.3372634
1998-06-30,3128.846,2303.62,1200.006,3272.81,954.3198082
1998-07-31,3161.262,2167.67,1075.843,2799.63,954.288338
1998-08-31,2770.313,2389.22,1144.13,2978.98,992.0415206
1998-09-30,2686.104,2277.14,1112.972,3221.29,1044.635868
1998-10-31,2966.861,2000.07,1133.2321,3416.53,1031.942763
1998-11-30,3119.593,1965.65,1099.094,3613.41,1027.793185
1998-12-31,3243.415,1974.23,1077.241,3764.51,1039.180561
1999-01-31,3234.571,1883.29,1048.316,3647.51,1042.38458
1999-02-28,3158.231,2201.42,1043.053,3793.44,995.9603568
1999-03-31,3290.827,2292.4,1144.332,3940.34,1003.418496
1999-04-30,3424.924,2167.31,1169.5129,3847.3,999.3530766
